time,open,high,low,close,volume
2021-02-23 20:00:00,187.0,187.0,187.0,187.0,310
2021-02-23 19:42:00,186.62,186.62,186.62,186.62,200
2021-02-23 19:39:00,187.0,187.0,187.0,187.0,325
2021-02-23 19:37:00,187.0,187.0,187.0,187.0,1114
2021-02-23 19:36:00,187.0,187.0,187.0,187.0,510
2021-02-23 19:35:00,187.0,187.0,186.7,186.7,465
2021-02-23 19:32:00,186.2,186.2,186.2,186.2,190
2021-02-23 19:28:00,187.01,187.01,187.01,187.01,317
2021-02-23 19:20:00,187.0001,187.0001,187.0001,187.0001,171
2021-02-23 19:15:00,187.1,187.1,187.1,187.1,549
2021-02-23 19:14:00,187.6,187.6,187.6,187.6,365
2021-02-23 19:07:00,187.64,187.64,187.64,187.64,163
2021-02-23 19:06:00,187.62,187.62,187.62,187.62,854
2021-02-23 19:02:00,187.6,187.6,187.6,187.6,302
2021-02-23 18:55:00,187.65,187.65,187.65,187.65,156
2021-02-23 18:53:00,187.65,187.65,187.65,187.65,335
2021-02-23 18:44:00,187.0401,187.0401,187.0401,187.0401,414
2021-02-23 18:17:00,187.51,187.51,187.51,187.51,309
2021-02-23 18:08:00,187.65,187.65,187.63,187.63,738
2021-02-23 18:07:00,187.65,187.65,187.65,187.65,171
2021-02-23 18:02:00,187.63,187.65,187.63,187.65,404
2021-02-23 17:58:00,187.63,187.63,187.63,187.63,445
2021-02-23 17:46:00,187.63,187.63,187.63,187.63,107
2021-02-23 17:45:00,187.61,187.61,187.61,187.61,133
2021-02-23 17:35:00,187.63,187.63,187.63,187.63,373
2021-02-23 17:31:00,187.63,187.63,187.63,187.63,789
2021-02-23 17:16:00,187.62,187.62,187.62,187.62,153
2021-02-23 17:14:00,187.0,187.0,187.0,187.0,1186
2021-02-23 17:12:00,187.29,187.29,187.29,187.29,193
2021-02-23 17:11:00,187.33,187.33,187.31,187.31,466
2021-02-23 17:07:00,187.64,187.64,187.64,187.64,125
2021-02-23 17:03:00,187.62,187.62,187.62,187.62,245
2021-02-23 16:54:00,187.5,187.5,187.5,187.5,262
2021-02-23 16:52:00,187.5,187.5,187.5,187.5,756
2021-02-23 16:45:00,187.73,187.73,187.73,187.73,500
2021-02-23 16:43:00,187.73,187.73,187.73,187.73,471
2021-02-23 16:36:00,187.73,187.73,187.73,187.73,769
2021-02-23 16:20:00,187.74,187.74,187.74,187.74,329
2021-02-23 16:16:00,187.76,187.76,187.76,187.76,255
2021-02-23 16:14:00,187.75,187.75,187.75,187.75,204
2021-02-23 16:13:00,187.97,187.97,187.97,187.97,224
2021-02-23 16:12:00,187.99,187.99,187.99,187.99,277
2021-02-23 16:10:00,187.92,187.92,187.92,187.92,254
2021-02-23 16:09:00,187.91,187.91,187.91,187.91,1313
2021-02-23 16:08:00,187.81,187.81,187.81,187.81,607
2021-02-23 16:07:00,187.77,187.77,187.77,187.77,179
